Short_Desc,MajorGroup,FdGp_Desc,GmWt_1,Vitamins,Value
"CHEESE,CHESHIRE",Dairy and Egg,Dairy and Egg Products,28.35,Riboflavin,0.293
"CHEESE,CHESHIRE",Dairy and Egg,Dairy and Egg Products,28.35,Niacin,0.08
"CHEESE,COLBY",Dairy and Egg,Dairy and Egg Products,132,Vit_A,1034
"CHEESE,COLBY",Dairy and Egg,Dairy and Egg Products,132,Vit_C,0
"CHEESE,COLBY",Dairy and Egg,Dairy and Egg Products,132,Vit_E,0.35
"CHEESE,COLBY",Dairy and Egg,Dairy and Egg Products,132,Thiamin,0.015
"CHEESE,COLBY",Dairy and Egg,Dairy and Egg Products,132,Riboflavin,0.375
"CHEESE,COLBY",Dairy and Egg,Dairy and Egg Products,132,Niacin,0.093
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",Dairy and Egg,Dairy and Egg Products,113,Vit_A,163
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",Dairy and Egg,Dairy and Egg Products,113,Vit_C,0
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",Dairy and Egg,Dairy and Egg Products,113,Vit_E,0.122
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",Dairy and Egg,Dairy and Egg Products,113,Thiamin,0.021
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",Dairy and Egg,Dairy and Egg Products,113,Riboflavin,0.163
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",Dairy and Egg,Dairy and Egg Products,113,Niacin,0.126
"CHEESE,COTTAGE,CRMD,W/FRUIT",Dairy and Egg,Dairy and Egg Products,226,Vit_A,123
"CHEESE,COTTAGE,CRMD,W/FRUIT",Dairy and Egg,Dairy and Egg Products,226,Vit_C,0
"CHEESE,COTTAGE,CRMD,W/FRUIT",Dairy and Egg,Dairy and Egg Products,226,Vit_E,0.092
"CHEESE,COTTAGE,CRMD,W/FRUIT",Dairy and Egg,Dairy and Egg Products,226,Thiamin,0.017
"CHEESE,COTTAGE,CRMD,W/FRUIT",Dairy and Egg,Dairy and Egg Products,226,Riboflavin,0.129
"CHEESE,COTTAGE,CRMD,W/FRUIT",Dairy and Egg,Dairy and Egg Products,226,Niacin,0.1
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",Dairy and Egg,Dairy and Egg Products,145,Vit_A,30
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",Dairy and Egg,Dairy and Egg Products,145,Vit_C,0
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",Dairy and Egg,Dairy and Egg Products,145,Vit_E,0.11
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",Dairy and Egg,Dairy and Egg Products,145,Thiamin,0.025
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",Dairy and Egg,Dairy and Egg Products,145,Riboflavin,0.142
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",Dairy and Egg,Dairy and Egg Products,145,Niacin,0.155
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",Dairy and Egg,Dairy and Egg Products,226,Vit_A,70
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",Dairy and Egg,Dairy and Egg Products,226,Vit_C,0
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",Dairy and Egg,Dairy and Egg Products,226,Vit_E,0.056
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",Dairy and Egg,Dairy and Egg Products,226,Thiamin,0.024
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",Dairy and Egg,Dairy and Egg Products,226,Riboflavin,0.185
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",Dairy and Egg,Dairy and Egg Products,226,Niacin,0.144
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",Dairy and Egg,Dairy and Egg Products,226,Vit_A,37
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",Dairy and Egg,Dairy and Egg Products,226,Vit_C,0
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",Dairy and Egg,Dairy and Egg Products,226,Vit_E,0.11
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",Dairy and Egg,Dairy and Egg Products,226,Thiamin,0.021
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",Dairy and Egg,Dairy and Egg Products,226,Riboflavin,0.165
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",Dairy and Egg,Dairy and Egg Products,226,Niacin,0.128
"CHEESE,CREAM",Dairy and Egg,Dairy and Egg Products,232,Vit_A,1427
"CHEESE,CREAM",Dairy and Egg,Dairy and Egg Products,232,Vit_C,0
"CHEESE,CREAM",Dairy and Egg,Dairy and Egg Products,232,Vit_E,0.941
"CHEESE,CREAM",Dairy and Egg,Dairy and Egg Products,232,Thiamin,0.017
"CHEESE,CREAM",Dairy and Egg,Dairy and Egg Products,232,Riboflavin,0.197
"CHEESE,CREAM",Dairy and Egg,Dairy and Egg Products,232,Niacin,0.101
"CHEESE,EDAM",Dairy and Egg,Dairy and Egg Products,28.35,Vit_A,916
"CHEESE,EDAM",Dairy and Egg,Dairy and Egg Products,28.35,Vit_C,0
"CHEESE,EDAM",Dairy and Egg,Dairy and Egg Products,28.35,Vit_E,0.751
"CHEESE,EDAM",Dairy and Egg,Dairy and Egg Products,28.35,Thiamin,0.037
"CHEESE,EDAM",Dairy and Egg,Dairy and Egg Products,28.35,Riboflavin,0.389
"CHEESE,EDAM",Dairy and Egg,Dairy and Egg Products,28.35,Niacin,0.082
